                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.5702,                 21.629,                 4.3613,                      0,                      0,                      0,                      0,                 6.8433,                 46.278,                 4.1588,                 0.0002,                 0.0002,                 0.0002
                      2,                 6.6654,                 28.584,                 4.2806,                      0,                      0,                      0,                      0,                 6.8436,                 46.268,                 4.1592,             0.00049995,             0.00049995,             0.00049995
                      3,                 6.6296,                 23.298,                 4.3248,                      0,                      0,                      0,                      0,                 6.8434,                 46.265,                 4.1595,             0.00079984,             0.00079984,             0.00079984
                      4,                 6.4722,                 25.522,                 4.3368,                      0,                      0,                      0,                      0,                 6.8436,                 46.332,                 4.1593,              0.0010997,              0.0010997,              0.0010997
                      5,                 6.5715,                  21.58,                 4.3357,                      0,                      0,                      0,                      0,                 6.8422,                 46.047,                 4.1588,              0.0013994,              0.0013994,              0.0013994
                      6,                 6.5932,                 23.236,                 4.2313,                      0,                      0,                      0,                      0,                 6.8419,                 46.191,                 4.1596,              0.0016992,              0.0016992,              0.0016992
                      7,                 6.5776,                 23.351,                 4.1767,                      0,                      0,                      0,                      0,                 6.8413,                 46.565,                 4.1598,              0.0019988,              0.0019988,              0.0019988
                      8,                 6.4121,                 17.625,                 4.0701,                      0,                      0,                      0,                      0,                 6.8407,                 46.914,                 4.1611,              0.0022984,              0.0022984,              0.0022984
                      9,                 5.9815,                  14.43,                 3.9816,                      0,                      0,                      0,                      0,                 6.8407,                 47.475,                 4.1639,              0.0025979,              0.0025979,              0.0025979
                     10,                 4.7886,                 10.187,                 3.6016,                      0,                      0,                      0,                      0,                 6.8402,                 48.015,                 4.1693,              0.0028974,              0.0028974,              0.0028974
                     11,                 3.9634,                 6.3512,                 3.1432,                      0,                      0,                      0,                      0,                 6.8404,                 47.556,                 4.1733,              0.0031968,              0.0031968,              0.0031968
                     12,                 3.6508,                  5.333,                 2.6281,                      0,                      0,                      0,                      0,                 6.8417,                 44.736,                 4.1801,              0.0034962,              0.0034962,              0.0034962
                     13,                 3.0961,                 3.8723,                 2.2377,                      0,                      0,                      0,                      0,                 6.8424,                 45.143,                 4.1909,              0.0037955,              0.0037955,              0.0037955
                     14,                 2.8692,                 3.3496,                   1.97,                      0,                      0,                      0,                      0,                 6.8436,                 46.363,                 4.2022,              0.0040947,              0.0040947,              0.0040947
                     15,                 2.7044,                 3.3461,                 1.8182,                      0,                      0,                      0,                      0,                 6.8454,                 47.779,                 4.2138,              0.0043939,              0.0043939,              0.0043939
                     16,                 2.4609,                 3.0273,                 1.6911,                      0,                      0,                      0,                      0,                  6.847,                 49.537,                 4.2298,               0.004693,               0.004693,               0.004693
                     17,                 2.4798,                  2.919,                   1.57,                      0,                      0,                      0,                      0,                 6.8486,                  51.11,                 4.2441,              0.0049921,              0.0049921,              0.0049921
                     18,                 2.4017,                  2.772,                 1.5115,                      0,                      0,                      0,                      0,                 6.8516,                 53.338,                  4.261,              0.0052911,              0.0052911,              0.0052911
                     19,                 2.2983,                 2.6372,                 1.4348,                      0,                      0,                      0,                      0,                 6.8528,                 55.112,                 4.2758,                0.00559,                0.00559,                0.00559
                     20,                 2.2012,                  2.575,                  1.345,                      0,                      0,                      0,                      0,                 6.8553,                 57.153,                 4.2886,              0.0058889,              0.0058889,              0.0058889
                     21,                 2.1975,                  2.483,                 1.2988,                      0,                      0,                      0,                      0,                 6.8564,                  57.82,                 4.3039,              0.0061877,              0.0061877,              0.0061877
                     22,                 2.1293,                 2.4797,                 1.2112,                      0,                      0,                      0,                      0,                  6.859,                 58.346,                 4.3218,              0.0064865,              0.0064865,              0.0064865
                     23,                 1.9876,                 2.5026,                 1.2023,                      0,                      0,                      0,                      0,                 6.8578,                 56.902,                 4.3267,              0.0067852,              0.0067852,              0.0067852
                     24,                 2.1233,                 2.4025,                 1.2178,                      0,                      0,                      0,                      0,                 6.8583,                 58.424,                 4.3355,              0.0070838,              0.0070838,              0.0070838
